model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
kernel,0,reference,215.0,31.0,126.0,159.0,9.0,13.0,24.0,NaN,NaN
kernel,1,calibration,179.0,34.0,148.0,172.0,6.0,11.0,27.0,18.546206527615865,NaN
kernel,2,reference,199.0,35.0,132.0,167.0,7.0,11.0,26.0,NaN,NaN
kernel,3,calibration,192.0,36.0,142.0,166.0,8.0,11.0,22.0,10.255308427963659,NaN
kernel,4,reference,192.0,36.0,139.0,166.0,9.0,12.0,23.0,NaN,NaN
kernel,5,calibration,180.0,41.0,134.0,174.0,10.0,12.0,26.0,17.93075506670864,NaN
kernel,6,reference,199.0,39.0,118.0,174.0,10.0,14.0,23.0,NaN,NaN
kernel,7,calibration,182.0,25.0,183.0,144.0,8.0,13.0,22.0,37.82895419520985,NaN
kernel,8,reference,211.0,30.0,139.0,150.0,10.0,14.0,23.0,NaN,NaN
kernel,9,calibration,220.0,25.0,125.0,163.0,9.0,12.0,23.0,16.436481220575594,NaN
kernel,10,reference,179.0,38.0,161.0,159.0,8.0,11.0,21.0,NaN,NaN
kernel,11,calibration,187.0,28.0,159.0,156.0,10.0,13.0,24.0,17.374161830590673,NaN
kernel,12,reference,208.0,34.0,119.0,168.0,9.0,11.0,28.0,NaN,NaN
kernel,13,calibration,220.0,32.0,114.0,161.0,11.0,14.0,25.0,18.78365212683105,NaN
kernel,14,reference,168.0,29.0,181.0,153.0,10.0,14.0,22.0,NaN,NaN
kernel,15,calibration,200.0,36.0,121.0,170.0,10.0,11.0,29.0,12.516342267066026,NaN
kernel,16,reference,193.0,37.0,137.0,165.0,9.0,13.0,23.0,NaN,NaN
kernel,17,calibration,201.0,43.0,111.0,179.0,8.0,12.0,23.0,21.019366955941585,NaN
kernel,18,reference,191.0,24.0,175.0,145.0,11.0,13.0,18.0,NaN,NaN
kernel,19,calibration,188.0,34.0,148.0,158.0,10.0,13.0,26.0,12.171159528221274,NaN
kernel,20,reference,200.0,31.0,149.0,150.0,11.0,14.0,22.0,NaN,NaN
kernel,21,calibration,190.0,33.0,148.0,158.0,10.0,13.0,25.0,11.419740116749619,NaN
kernel,22,reference,163.0,34.0,164.0,169.0,10.0,13.0,24.0,NaN,NaN
kernel,23,calibration,199.0,30.0,153.0,150.0,11.0,13.0,21.0,13.978307648353557,NaN
kernel,24,reference,192.0,28.0,166.0,149.0,9.0,13.0,20.0,NaN,NaN
kernel,25,calibration,210.0,37.0,101.0,182.0,10.0,10.0,27.0,28.03105877019565,NaN
kernel,26,reference,190.0,28.0,157.0,161.0,9.0,12.0,20.0,NaN,NaN
kernel,27,calibration,164.0,29.0,167.0,169.0,10.0,12.0,26.0,34.37562520310596,NaN
kernel,28,reference,187.0,39.0,134.0,172.0,11.0,13.0,21.0,NaN,NaN
kernel,29,calibration,205.0,37.0,122.0,166.0,10.0,13.0,24.0,10.984906046717256,NaN
kernel,30,reference,228.0,35.0,90.0,176.0,9.0,13.0,26.0,NaN,NaN
kernel,31,calibration,183.0,29.0,167.0,151.0,9.0,14.0,24.0,23.972821113012728,NaN
kernel,32,reference,187.0,28.0,173.0,147.0,8.0,13.0,21.0,NaN,NaN
kernel,33,calibration,200.0,31.0,173.0,131.0,9.0,11.0,22.0,33.846575376360136,NaN
kernel,34,reference,204.0,24.0,166.0,139.0,11.0,12.0,21.0,NaN,NaN
kernel,35,calibration,197.0,37.0,123.0,171.0,11.0,14.0,24.0,12.102285229820083,NaN
kernel,36,reference,205.0,38.0,123.0,164.0,10.0,14.0,23.0,NaN,NaN
kernel,37,calibration,207.0,36.0,125.0,161.0,8.0,11.0,29.0,10.722867057187617,NaN
kernel,38,reference,214.0,31.0,137.0,151.0,8.0,12.0,24.0,NaN,NaN
kernel,39,calibration,194.0,39.0,119.0,176.0,11.0,13.0,25.0,16.174143694405224,NaN
kernel,40,reference,198.0,34.0,167.0,136.0,7.0,13.0,22.0,NaN,NaN
kernel,41,calibration,214.0,35.0,113.0,170.0,6.0,13.0,26.0,17.605179868478928,NaN
kernel,42,reference,207.0,35.0,133.0,159.0,10.0,13.0,20.0,NaN,NaN
kernel,43,calibration,196.0,37.0,122.0,170.0,10.0,13.0,29.0,12.7364277166756,NaN
kernel,44,reference,182.0,39.0,121.0,183.0,11.0,13.0,28.0,NaN,NaN
kernel,45,calibration,214.0,24.0,142.0,152.0,10.0,13.0,22.0,14.771406854101542,NaN
kernel,46,reference,215.0,29.0,126.0,160.0,10.0,13.0,24.0,NaN,NaN
kernel,47,calibration,205.0,38.0,126.0,164.0,10.0,12.0,22.0,9.88774676052185,NaN
kernel,48,reference,203.0,32.0,142.0,155.0,9.0,13.0,23.0,NaN,NaN
kernel,49,calibration,208.0,33.0,128.0,158.0,12.0,12.0,26.0,10.061209087586388,NaN
kernel,50,reference,192.0,32.0,151.0,161.0,7.0,13.0,21.0,NaN,NaN
kernel,51,calibration,203.0,37.0,150.0,145.0,9.0,11.0,22.0,15.384871385383605,NaN
kernel,52,reference,194.0,22.0,199.0,122.0,10.0,12.0,18.0,NaN,NaN
kernel,53,calibration,192.0,29.0,146.0,168.0,11.0,13.0,18.0,12.403135715325025,NaN
kernel,54,reference,228.0,32.0,133.0,140.0,10.0,13.0,21.0,NaN,NaN
kernel,55,calibration,181.0,30.0,160.0,160.0,9.0,13.0,24.0,19.74160198784662,NaN
kernel,56,reference,184.0,23.0,174.0,154.0,8.0,11.0,23.0,NaN,NaN
kernel,57,calibration,215.0,32.0,117.0,165.0,10.0,13.0,25.0,15.232576947723082,NaN
kernel,58,reference,182.0,39.0,138.0,172.0,11.0,12.0,23.0,NaN,NaN
kernel,59,calibration,218.0,33.0,138.0,148.0,7.0,11.0,22.0,16.16221381581964,NaN
kernel,60,reference,208.0,42.0,105.0,172.0,12.0,13.0,25.0,NaN,NaN
kernel,61,calibration,201.0,35.0,123.0,172.0,7.0,10.0,29.0,12.542719974223576,NaN
kernel,62,reference,201.0,36.0,145.0,152.0,9.0,12.0,22.0,NaN,NaN
kernel,63,calibration,231.0,28.0,136.0,140.0,11.0,12.0,19.0,27.67741052707482,NaN
kernel,64,reference,218.0,39.0,106.0,171.0,8.0,13.0,22.0,NaN,NaN
kernel,65,calibration,196.0,28.0,154.0,152.0,9.0,13.0,25.0,14.044819593935088,NaN
kernel,66,reference,189.0,41.0,127.0,178.0,9.0,12.0,21.0,NaN,NaN
kernel,67,calibration,192.0,34.0,143.0,161.0,10.0,14.0,23.0,9.652187266880318,NaN
kernel,68,reference,176.0,31.0,171.0,152.0,9.0,13.0,25.0,NaN,NaN
kernel,69,calibration,223.0,31.0,103.0,170.0,9.0,12.0,29.0,27.16237341024292,NaN
kernel,70,reference,219.0,34.0,117.0,162.0,8.0,12.0,25.0,NaN,NaN
kernel,71,calibration,184.0,34.0,161.0,156.0,10.0,13.0,19.0,19.524535750053836,NaN
kernel,72,reference,205.0,25.0,145.0,155.0,11.0,13.0,23.0,NaN,NaN
kernel,73,calibration,203.0,34.0,135.0,162.0,10.0,12.0,21.0,8.197653337522816,NaN
kernel,74,reference,183.0,33.0,152.0,163.0,8.0,10.0,28.0,NaN,NaN
kernel,75,calibration,195.0,24.0,178.0,137.0,12.0,13.0,18.0,35.09978382143968,NaN
kernel,76,reference,185.0,35.0,156.0,155.0,9.0,12.0,25.0,NaN,NaN
kernel,77,calibration,187.0,27.0,190.0,128.0,9.0,13.0,23.0,48.39706569926636,NaN
kernel,78,reference,196.0,40.0,121.0,169.0,12.0,13.0,26.0,NaN,NaN
kernel,79,calibration,196.0,39.0,119.0,173.0,11.0,14.0,25.0,14.669052313814724,NaN
kernel,80,reference,221.0,39.0,97.0,173.0,10.0,9.0,28.0,NaN,NaN
kernel,81,calibration,198.0,38.0,125.0,171.0,10.0,11.0,24.0,11.438271644636636,NaN
kernel,82,reference,195.0,33.0,145.0,160.0,10.0,13.0,21.0,NaN,NaN
kernel,83,calibration,211.0,42.0,93.0,181.0,9.0,11.0,30.0,34.27673072484744,NaN
kernel,84,reference,198.0,31.0,150.0,152.0,11.0,11.0,24.0,NaN,NaN
kernel,85,calibration,184.0,30.0,163.0,153.0,10.0,12.0,25.0,20.78569029410305,NaN
kernel,86,reference,206.0,37.0,126.0,162.0,10.0,13.0,23.0,NaN,NaN
kernel,87,calibration,183.0,36.0,155.0,157.0,9.0,13.0,24.0,16.739680944489308,NaN
kernel,88,reference,208.0,28.0,161.0,138.0,9.0,10.0,23.0,NaN,NaN
kernel,89,calibration,212.0,29.0,146.0,150.0,9.0,13.0,18.0,14.805351615239147,NaN
kernel,90,reference,197.0,41.0,124.0,169.0,8.0,13.0,25.0,NaN,NaN
kernel,91,calibration,202.0,37.0,108.0,181.0,10.0,13.0,26.0,22.599727250570268,NaN
kernel,92,reference,190.0,32.0,150.0,163.0,9.0,11.0,22.0,NaN,NaN
kernel,93,calibration,215.0,42.0,86.0,183.0,11.0,14.0,26.0,40.92452689745846,NaN
kernel,94,reference,217.0,35.0,109.0,171.0,8.0,11.0,26.0,NaN,NaN
kernel,95,calibration,206.0,38.0,134.0,155.0,9.0,11.0,24.0,9.78766556274461,NaN
kernel,96,reference,182.0,34.0,151.0,165.0,10.0,12.0,23.0,NaN,NaN
kernel,97,calibration,207.0,29.0,143.0,153.0,9.0,14.0,22.0,11.138720982594293,NaN
kernel,98,reference,242.0,28.0,72.0,186.0,9.0,12.0,28.0,NaN,NaN
kernel,99,calibration,172.0,26.0,188.0,146.0,9.0,12.0,24.0,44.62511409447296,NaN
kernel,100,reference,169.0,33.0,170.0,160.0,9.0,13.0,23.0,NaN,NaN
kernel,101,calibration,198.0,29.0,156.0,148.0,9.0,13.0,24.0,15.91501648352866,NaN
kernel,102,reference,198.0,38.0,126.0,175.0,8.0,11.0,21.0,NaN,NaN
kernel,103,calibration,221.0,43.0,103.0,167.0,9.0,11.0,23.0,26.347440774055627,NaN
kernel,104,reference,181.0,45.0,106.0,191.0,10.0,12.0,32.0,NaN,NaN
kernel,105,calibration,210.0,31.0,116.0,170.0,11.0,13.0,26.0,15.188747421174469,NaN
kernel,106,reference,206.0,35.0,123.0,167.0,7.0,12.0,27.0,NaN,NaN
kernel,107,calibration,188.0,36.0,126.0,179.0,10.0,12.0,26.0,16.874965596659514,NaN
kernel,108,reference,205.0,36.0,120.0,170.0,10.0,12.0,24.0,NaN,NaN
kernel,109,calibration,196.0,35.0,138.0,161.0,8.0,13.0,26.0,8.463561872056143,NaN
kernel,110,reference,221.0,39.0,98.0,172.0,8.0,11.0,28.0,NaN,NaN
kernel,111,calibration,202.0,35.0,120.0,176.0,10.0,11.0,23.0,14.484335935349257,NaN
kernel,112,reference,197.0,31.0,159.0,142.0,10.0,13.0,25.0,NaN,NaN
kernel,113,calibration,216.0,38.0,98.0,175.0,10.0,12.0,28.0,28.820815180342684,NaN
kernel,114,reference,186.0,35.0,134.0,174.0,10.0,13.0,25.0,NaN,NaN
kernel,115,calibration,184.0,27.0,175.0,146.0,9.0,13.0,23.0,30.423930258676336,NaN
kernel,116,reference,226.0,36.0,90.0,176.0,10.0,13.0,26.0,NaN,NaN
kernel,117,calibration,196.0,32.0,145.0,163.0,9.0,12.0,20.0,9.769702961315762,NaN
kernel,118,reference,193.0,33.0,149.0,156.0,9.0,13.0,24.0,NaN,NaN
kernel,119,calibration,219.0,34.0,102.0,172.0,11.0,12.0,27.0,26.106378805174707,NaN
kernel,120,reference,203.0,38.0,121.0,165.0,10.0,13.0,27.0,NaN,NaN
kernel,121,calibration,196.0,29.0,143.0,163.0,9.0,13.0,24.0,9.346887504915948,NaN
kernel,122,reference,191.0,34.0,150.0,157.0,9.0,13.0,23.0,NaN,NaN
kernel,123,calibration,194.0,32.0,138.0,169.0,9.0,13.0,22.0,9.914848511800606,NaN
kernel,124,reference,195.0,38.0,132.0,164.0,9.0,13.0,26.0,NaN,NaN
kernel,125,calibration,190.0,36.0,138.0,164.0,10.0,13.0,26.0,10.103227308038853,NaN
kernel,126,reference,203.0,29.0,150.0,151.0,10.0,13.0,21.0,NaN,NaN
kernel,127,calibration,189.0,31.0,132.0,181.0,7.0,11.0,26.0,16.941685433283794,NaN
kernel,128,reference,179.0,41.0,133.0,175.0,10.0,13.0,26.0,NaN,NaN
kernel,129,calibration,200.0,37.0,121.0,175.0,9.0,10.0,25.0,13.912076074735573,NaN
kernel,130,reference,225.0,32.0,137.0,144.0,10.0,10.0,19.0,NaN,NaN
kernel,131,calibration,182.0,34.0,169.0,146.0,12.0,13.0,21.0,27.022770851372343,NaN
kernel,132,reference,190.0,31.0,157.0,156.0,8.0,12.0,23.0,NaN,NaN
kernel,133,calibration,220.0,25.0,139.0,149.0,9.0,12.0,23.0,17.807164277065,NaN
kernel,134,reference,181.0,36.0,154.0,156.0,9.0,13.0,28.0,NaN,NaN
kernel,135,calibration,203.0,35.0,130.0,163.0,9.0,13.0,24.0,8.414423544661666,NaN
kernel,136,reference,224.0,39.0,105.0,162.0,10.0,12.0,25.0,NaN,NaN
kernel,137,calibration,204.0,35.0,143.0,149.0,9.0,13.0,24.0,11.624825795152166,NaN
kernel,138,reference,215.0,31.0,123.0,161.0,10.0,12.0,25.0,NaN,NaN
kernel,139,calibration,229.0,40.0,100.0,160.0,10.0,12.0,26.0,31.673366821506306,NaN
kernel,140,reference,186.0,31.0,161.0,149.0,10.0,13.0,27.0,NaN,NaN
kernel,141,calibration,173.0,35.0,171.0,152.0,10.0,13.0,23.0,30.7082774017237,NaN
kernel,142,reference,174.0,25.0,181.0,157.0,9.0,13.0,18.0,NaN,NaN
kernel,143,calibration,219.0,43.0,86.0,180.0,9.0,11.0,29.0,41.14488939637633,NaN
kernel,144,reference,215.0,37.0,111.0,165.0,11.0,13.0,25.0,NaN,NaN
kernel,145,calibration,212.0,32.0,128.0,156.0,9.0,13.0,27.0,11.5917812673543,NaN
kernel,146,reference,215.0,33.0,117.0,164.0,9.0,13.0,26.0,NaN,NaN
kernel,147,calibration,200.0,41.0,118.0,167.0,10.0,14.0,27.0,13.69995478329517,NaN
kernel,148,reference,196.0,33.0,140.0,167.0,8.0,13.0,20.0,NaN,NaN
kernel,149,calibration,206.0,31.0,128.0,164.0,8.0,10.0,30.0,10.35588157392366,NaN
kernel,150,reference,197.0,32.0,142.0,161.0,12.0,13.0,20.0,NaN,NaN
kernel,151,calibration,196.0,23.0,156.0,152.0,8.0,14.0,28.0,16.62121173213852,NaN
kernel,152,reference,207.0,35.0,119.0,172.0,10.0,10.0,24.0,NaN,NaN
kernel,153,calibration,197.0,39.0,125.0,170.0,7.0,13.0,26.0,11.61128791906318,NaN
kernel,154,reference,224.0,25.0,137.0,144.0,9.0,14.0,24.0,NaN,NaN
kernel,155,calibration,184.0,34.0,141.0,168.0,10.0,13.0,27.0,13.390603829377767,NaN
kernel,156,reference,187.0,31.0,153.0,161.0,9.0,13.0,23.0,NaN,NaN
kernel,157,calibration,200.0,29.0,146.0,157.0,10.0,12.0,23.0,9.974909307676814,NaN
kernel,158,reference,180.0,31.0,135.0,183.0,8.0,12.0,28.0,NaN,NaN
kernel,159,calibration,196.0,36.0,136.0,163.0,10.0,12.0,24.0,8.386412903335344,NaN
kernel,160,reference,194.0,24.0,155.0,160.0,10.0,13.0,21.0,NaN,NaN
kernel,161,calibration,214.0,35.0,111.0,165.0,11.0,13.0,28.0,18.0131214246437,NaN
kernel,162,reference,221.0,25.0,151.0,138.0,12.0,13.0,17.0,NaN,NaN
kernel,163,calibration,184.0,38.0,140.0,165.0,8.0,14.0,28.0,13.401680866149476,NaN
kernel,164,reference,219.0,32.0,113.0,166.0,9.0,12.0,26.0,NaN,NaN
kernel,165,calibration,193.0,30.0,160.0,150.0,9.0,13.0,22.0,17.552018888434958,NaN
kernel,166,reference,198.0,23.0,153.0,154.0,8.0,14.0,27.0,NaN,NaN
kernel,167,calibration,197.0,28.0,155.0,154.0,8.0,11.0,24.0,14.07126185375136,NaN
kernel,168,reference,222.0,37.0,96.0,171.0,11.0,13.0,27.0,NaN,NaN
kernel,169,calibration,195.0,25.0,159.0,151.0,9.0,13.0,25.0,17.396030696859498,NaN
kernel,170,reference,236.0,37.0,91.0,167.0,11.0,11.0,24.0,NaN,NaN
kernel,171,calibration,212.0,28.0,139.0,154.0,11.0,11.0,22.0,12.111050667440207,NaN
kernel,172,reference,186.0,33.0,144.0,170.0,9.0,11.0,24.0,NaN,NaN
kernel,173,calibration,192.0,35.0,141.0,163.0,10.0,12.0,24.0,9.439805628516556,NaN
kernel,174,reference,211.0,38.0,112.0,170.0,9.0,12.0,25.0,NaN,NaN
kernel,175,calibration,176.0,28.0,171.0,158.0,9.0,12.0,23.0,28.74445197966294,NaN
kernel,176,reference,187.0,42.0,120.0,177.0,9.0,13.0,29.0,NaN,NaN
kernel,177,calibration,225.0,35.0,100.0,168.0,8.0,13.0,28.0,29.442993438875348,NaN
kernel,178,reference,182.0,36.0,151.0,163.0,11.0,13.0,21.0,NaN,NaN
kernel,179,calibration,200.0,35.0,127.0,167.0,9.0,14.0,25.0,9.491107368940963,NaN
kernel,180,reference,170.0,32.0,171.0,155.0,10.0,13.0,26.0,NaN,NaN
kernel,181,calibration,198.0,28.0,135.0,165.0,10.0,14.0,27.0,9.23755605849076,NaN
kernel,182,reference,248.0,26.0,118.0,143.0,10.0,11.0,21.0,NaN,NaN
kernel,183,calibration,177.0,42.0,160.0,151.0,12.0,14.0,21.0,24.29521274491001,NaN
kernel,184,reference,198.0,23.0,169.0,146.0,7.0,14.0,20.0,NaN,NaN
kernel,185,calibration,203.0,35.0,135.0,156.0,10.0,13.0,25.0,8.692748101086202,NaN
kernel,186,reference,215.0,34.0,107.0,170.0,10.0,13.0,28.0,NaN,NaN
kernel,187,calibration,190.0,30.0,158.0,157.0,10.0,13.0,19.0,16.11536780386448,NaN
kernel,188,reference,175.0,34.0,176.0,147.0,10.0,12.0,23.0,NaN,NaN
kernel,189,calibration,158.0,28.0,196.0,150.0,8.0,13.0,24.0,56.94693583218388,NaN
kernel,190,reference,189.0,24.0,177.0,144.0,8.0,12.0,23.0,NaN,NaN
kernel,191,calibration,176.0,33.0,173.0,154.0,7.0,13.0,21.0,30.27448762615198,NaN
kernel,192,reference,199.0,22.0,172.0,143.0,10.0,13.0,18.0,NaN,NaN
kernel,193,calibration,236.0,43.0,83.0,172.0,11.0,12.0,20.0,48.66324056277172,NaN
kernel,194,reference,201.0,30.0,155.0,149.0,9.0,12.0,21.0,NaN,NaN
kernel,195,calibration,216.0,34.0,118.0,163.0,12.0,13.0,21.0,15.335474226490348,NaN
kernel,196,reference,191.0,24.0,177.0,143.0,7.0,13.0,22.0,NaN,NaN
kernel,197,calibration,180.0,35.0,158.0,160.0,10.0,14.0,20.0,19.478403378054516,NaN
kernel,198,reference,192.0,34.0,144.0,164.0,10.0,12.0,21.0,NaN,NaN
kernel,199,calibration,195.0,37.0,136.0,165.0,9.0,13.0,22.0,8.967902099534559,NaN
kernel,200,reference,194.0,27.0,174.0,139.0,9.0,13.0,21.0,NaN,NaN
kernel,201,calibration,197.0,32.0,142.0,159.0,9.0,14.0,24.0,8.68710832175298,NaN
kernel,202,reference,200.0,31.0,141.0,162.0,9.0,11.0,23.0,NaN,NaN
kernel,203,calibration,196.0,29.0,150.0,157.0,9.0,14.0,22.0,11.427108125268258,NaN
kernel,204,reference,190.0,39.0,135.0,168.0,10.0,12.0,23.0,NaN,NaN
kernel,205,calibration,202.0,27.0,155.0,148.0,9.0,13.0,23.0,15.989583993044775,NaN
kernel,206,reference,209.0,39.0,111.0,167.0,9.0,13.0,29.0,NaN,NaN
kernel,207,calibration,212.0,36.0,132.0,152.0,12.0,12.0,21.0,12.335996659324437,NaN
kernel,208,reference,197.0,41.0,127.0,163.0,9.0,13.0,27.0,NaN,NaN
kernel,209,calibration,203.0,29.0,153.0,148.0,8.0,14.0,22.0,15.054821201391093,NaN
kernel,210,reference,205.0,37.0,114.0,172.0,10.0,11.0,28.0,NaN,NaN
kernel,211,calibration,205.0,27.0,151.0,150.0,9.0,12.0,23.0,14.152577305221591,NaN
kernel,212,reference,198.0,36.0,130.0,159.0,11.0,13.0,30.0,NaN,NaN
kernel,213,calibration,222.0,38.0,116.0,161.0,9.0,11.0,20.0,19.311215406371623,NaN
kernel,214,reference,207.0,41.0,92.0,186.0,9.0,10.0,32.0,NaN,NaN
kernel,215,calibration,238.0,28.0,132.0,138.0,10.0,12.0,19.0,33.404683615673356,NaN
kernel,216,reference,220.0,35.0,104.0,174.0,9.0,10.0,25.0,NaN,NaN
kernel,217,calibration,194.0,37.0,136.0,166.0,8.0,13.0,23.0,9.299250391225879,NaN
kernel,218,reference,218.0,32.0,148.0,139.0,9.0,11.0,20.0,NaN,NaN
kernel,219,calibration,208.0,34.0,121.0,168.0,11.0,10.0,25.0,12.135341363650976,NaN
kernel,220,reference,213.0,33.0,133.0,154.0,10.0,13.0,21.0,NaN,NaN
kernel,221,calibration,185.0,38.0,133.0,171.0,11.0,14.0,25.0,13.97535448930384,NaN
kernel,222,reference,182.0,30.0,156.0,159.0,10.0,13.0,27.0,NaN,NaN
kernel,223,calibration,208.0,38.0,128.0,158.0,10.0,13.0,22.0,10.274610081647747,NaN
kernel,224,reference,186.0,32.0,144.0,168.0,6.0,11.0,30.0,NaN,NaN
kernel,225,calibration,200.0,38.0,130.0,168.0,10.0,12.0,19.0,10.025869143794704,NaN
kernel,226,reference,190.0,20.0,174.0,150.0,9.0,13.0,21.0,NaN,NaN
kernel,227,calibration,176.0,21.0,177.0,160.0,9.0,12.0,22.0,34.21777496803584,NaN
kernel,228,reference,207.0,29.0,143.0,159.0,10.0,12.0,17.0,NaN,NaN
kernel,229,calibration,203.0,39.0,124.0,166.0,8.0,13.0,24.0,10.593104448288464,NaN
kernel,230,reference,207.0,43.0,98.0,177.0,9.0,13.0,30.0,NaN,NaN
kernel,231,calibration,194.0,29.0,161.0,148.0,9.0,13.0,23.0,18.652931937005242,NaN
kernel,232,reference,200.0,34.0,130.0,168.0,7.0,13.0,25.0,NaN,NaN
kernel,233,calibration,203.0,27.0,139.0,163.0,8.0,13.0,24.0,9.282853032611921,NaN
kernel,234,reference,232.0,41.0,98.0,163.0,9.0,9.0,25.0,NaN,NaN
kernel,235,calibration,197.0,38.0,140.0,158.0,10.0,14.0,20.0,9.370937026187924,NaN
kernel,236,reference,170.0,38.0,147.0,172.0,10.0,13.0,27.0,NaN,NaN
kernel,237,calibration,192.0,40.0,122.0,173.0,10.0,13.0,27.0,14.746914508841442,NaN
kernel,238,reference,213.0,22.0,163.0,138.0,9.0,12.0,20.0,NaN,NaN
kernel,239,calibration,220.0,31.0,131.0,148.0,10.0,12.0,25.0,17.14802100879512,NaN
kernel,240,reference,191.0,33.0,141.0,166.0,11.0,13.0,22.0,NaN,NaN
kernel,241,calibration,203.0,35.0,115.0,174.0,10.0,13.0,27.0,15.840385997284905,NaN
kernel,242,reference,196.0,31.0,145.0,158.0,9.0,13.0,25.0,NaN,NaN
kernel,243,calibration,190.0,38.0,119.0,180.0,12.0,13.0,25.0,19.065845447362307,NaN
kernel,244,reference,216.0,33.0,129.0,157.0,10.0,13.0,19.0,NaN,NaN
kernel,245,calibration,184.0,39.0,148.0,158.0,10.0,14.0,24.0,14.435234719124075,NaN
kernel,246,reference,219.0,40.0,103.0,167.0,10.0,12.0,26.0,NaN,NaN
kernel,247,calibration,181.0,33.0,152.0,166.0,10.0,13.0,22.0,16.764089334170308,NaN
kernel,248,reference,208.0,39.0,113.0,167.0,9.0,13.0,28.0,NaN,NaN
kernel,249,calibration,193.0,29.0,140.0,168.0,10.0,14.0,23.0,10.384607280212794,NaN
kernel,250,reference,196.0,32.0,160.0,141.0,11.0,13.0,24.0,NaN,NaN
kernel,251,calibration,195.0,25.0,181.0,139.0,7.0,12.0,18.0,36.290887384572045,NaN
kernel,252,reference,205.0,39.0,106.0,180.0,8.0,12.0,27.0,NaN,NaN
kernel,253,calibration,213.0,33.0,143.0,142.0,8.0,12.0,26.0,17.37306552629949,NaN
kernel,254,reference,193.0,26.0,175.0,142.0,8.0,13.0,20.0,NaN,NaN
kernel,255,calibration,211.0,35.0,127.0,160.0,10.0,12.0,22.0,10.678684275345613,NaN
kernel,256,reference,214.0,41.0,108.0,168.0,9.0,12.0,25.0,NaN,NaN
kernel,257,calibration,192.0,36.0,132.0,173.0,9.0,14.0,21.0,12.060781561423763,NaN
kernel,258,reference,164.0,36.0,171.0,160.0,11.0,14.0,21.0,NaN,NaN
kernel,259,calibration,215.0,31.0,114.0,170.0,11.0,13.0,23.0,17.531294108647188,NaN
kernel,260,reference,188.0,38.0,119.0,182.0,10.0,13.0,27.0,NaN,NaN
kernel,261,calibration,211.0,34.0,142.0,146.0,10.0,13.0,21.0,14.517182229222776,NaN
kernel,262,reference,193.0,33.0,148.0,159.0,10.0,12.0,22.0,NaN,NaN
kernel,263,calibration,190.0,30.0,166.0,145.0,9.0,14.0,23.0,23.15281614490712,NaN
kernel,264,reference,222.0,36.0,116.0,162.0,8.0,11.0,22.0,NaN,NaN
kernel,265,calibration,207.0,26.0,134.0,165.0,11.0,12.0,22.0,10.358283442504074,NaN
kernel,266,reference,225.0,37.0,104.0,163.0,11.0,10.0,27.0,NaN,NaN
kernel,267,calibration,200.0,26.0,146.0,164.0,6.0,9.0,26.0,11.451221621291069,NaN
kernel,268,reference,188.0,40.0,135.0,169.0,10.0,11.0,24.0,NaN,NaN
kernel,269,calibration,184.0,34.0,150.0,164.0,9.0,13.0,23.0,14.34123987734985,NaN
kernel,270,reference,168.0,32.0,165.0,166.0,10.0,13.0,23.0,NaN,NaN
kernel,271,calibration,219.0,34.0,113.0,164.0,10.0,13.0,24.0,18.534972881445157,NaN
kernel,272,reference,225.0,39.0,92.0,174.0,11.0,12.0,24.0,NaN,NaN
kernel,273,calibration,188.0,34.0,171.0,142.0,7.0,13.0,22.0,27.993644055314498,NaN
kernel,274,reference,204.0,33.0,124.0,169.0,9.0,11.0,27.0,NaN,NaN
kernel,275,calibration,199.0,33.0,135.0,162.0,10.0,13.0,25.0,7.942303003252871,NaN
kernel,276,reference,191.0,33.0,161.0,148.0,11.0,13.0,20.0,NaN,NaN
kernel,277,calibration,222.0,34.0,116.0,164.0,10.0,12.0,19.0,19.215857493650084,NaN
kernel,278,reference,210.0,36.0,126.0,159.0,9.0,13.0,24.0,NaN,NaN
