model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
kernel_anchored,0,reference,167.0,38.0,170.0,164.0,8.0,12.0,18.0,NaN,NaN
kernel_anchored,1,calibration,171.0,23.0,187.0,153.0,11.0,14.0,18.0,25.33525149888544,NaN
kernel_anchored,2,reference,228.0,30.0,128.0,154.0,8.0,12.0,17.0,NaN,NaN
kernel_anchored,3,calibration,198.0,15.0,218.0,105.0,11.0,13.0,17.0,38.984884503176566,NaN
kernel_anchored,4,reference,244.0,7.0,171.0,115.0,7.0,12.0,21.0,NaN,NaN
kernel_anchored,5,calibration,178.0,27.0,166.0,166.0,9.0,14.0,17.0,24.588318694517717,NaN
kernel_anchored,6,reference,172.0,21.0,197.0,148.0,7.0,13.0,19.0,NaN,NaN
kernel_anchored,7,calibration,236.0,24.0,130.0,158.0,8.0,10.0,11.0,36.664421452875864,NaN
kernel_anchored,8,reference,199.0,30.0,192.0,116.0,11.0,14.0,15.0,NaN,NaN
kernel_anchored,9,calibration,247.0,38.0,106.0,149.0,11.0,11.0,15.0,57.10124472277095,NaN
kernel_anchored,10,reference,209.0,23.0,167.0,137.0,8.0,12.0,21.0,NaN,NaN
kernel_anchored,11,calibration,155.0,37.0,181.0,165.0,10.0,14.0,15.0,38.98984946439605,NaN
kernel_anchored,12,reference,175.0,37.0,162.0,156.0,10.0,14.0,23.0,NaN,NaN
kernel_anchored,13,calibration,188.0,8.0,188.0,160.0,9.0,13.0,11.0,23.423968517356883,NaN
kernel_anchored,14,reference,160.0,25.0,213.0,144.0,7.0,13.0,15.0,NaN,NaN
kernel_anchored,15,calibration,219.0,28.0,142.0,144.0,10.0,10.0,24.0,23.525276939720364,NaN
kernel_anchored,16,reference,186.0,9.0,241.0,112.0,7.0,13.0,9.0,NaN,NaN
kernel_anchored,17,calibration,205.0,9.0,227.0,106.0,8.0,10.0,12.0,45.25804203290951,NaN
kernel_anchored,18,reference,209.0,14.0,204.0,116.0,7.0,11.0,16.0,NaN,NaN
kernel_anchored,19,calibration,210.0,6.0,222.0,102.0,10.0,12.0,15.0,45.08185710383332,NaN
kernel_anchored,20,reference,221.0,38.0,110.0,172.0,8.0,11.0,17.0,NaN,NaN
kernel_anchored,21,calibration,196.0,26.0,176.0,140.0,9.0,12.0,18.0,15.057418973756107,NaN
kernel_anchored,22,reference,187.0,26.0,146.0,173.0,8.0,13.0,24.0,NaN,NaN
kernel_anchored,23,calibration,178.0,12.0,196.0,146.0,9.0,13.0,23.0,24.360746229092427,NaN
kernel_anchored,24,reference,197.0,29.0,175.0,135.0,8.0,11.0,22.0,NaN,NaN
kernel_anchored,25,calibration,240.0,27.0,131.0,138.0,8.0,12.0,21.0,37.77580603446409,NaN
kernel_anchored,26,reference,242.0,37.0,119.0,139.0,11.0,11.0,18.0,NaN,NaN
kernel_anchored,27,calibration,202.0,14.0,126.0,185.0,10.0,12.0,28.0,41.64260253519581,NaN
kernel_anchored,28,reference,166.0,10.0,217.0,146.0,10.0,13.0,15.0,NaN,NaN
kernel_anchored,29,calibration,196.0,14.0,224.0,108.0,10.0,12.0,13.0,41.30130233869881,NaN
kernel_anchored,30,reference,199.0,24.0,168.0,146.0,10.0,11.0,19.0,NaN,NaN
kernel_anchored,31,calibration,169.0,15.0,231.0,123.0,8.0,12.0,19.0,46.63059226399444,NaN
kernel_anchored,32,reference,230.0,14.0,124.0,168.0,11.0,11.0,19.0,NaN,NaN
kernel_anchored,33,calibration,193.0,19.0,141.0,178.0,9.0,13.0,24.0,30.965359165980146,NaN
kernel_anchored,34,reference,201.0,25.0,190.0,124.0,9.0,13.0,15.0,NaN,NaN
kernel_anchored,35,calibration,218.0,12.0,193.0,114.0,12.0,13.0,15.0,27.371824108850767,NaN
kernel_anchored,36,reference,231.0,11.0,176.0,126.0,10.0,12.0,11.0,NaN,NaN
kernel_anchored,37,calibration,211.0,21.0,165.0,142.0,9.0,13.0,16.0,15.03976410765938,NaN
kernel_anchored,38,reference,219.0,8.0,190.0,122.0,11.0,13.0,14.0,NaN,NaN
kernel_anchored,39,calibration,225.0,18.0,139.0,150.0,10.0,12.0,23.0,26.31824302112465,NaN
kernel_anchored,40,reference,229.0,32.0,156.0,124.0,10.0,13.0,13.0,NaN,NaN
kernel_anchored,41,calibration,210.0,17.0,156.0,152.0,10.0,12.0,20.0,16.869366784777284,NaN
kernel_anchored,42,reference,206.0,17.0,190.0,129.0,11.0,13.0,11.0,NaN,NaN
kernel_anchored,43,calibration,227.0,7.0,190.0,124.0,8.0,9.0,12.0,27.689804482561918,NaN
kernel_anchored,44,reference,226.0,13.0,184.0,116.0,10.0,13.0,15.0,NaN,NaN
