model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
national,0,reference,172.0,24.0,169.0,164.0,10.0,13.0,25.0,NaN,NaN
national,1,calibration,216.0,39.0,92.0,181.0,12.0,13.0,24.0,30.268655256186438,NaN
national,2,reference,158.0,38.0,168.0,164.0,9.0,13.0,27.0,NaN,NaN
national,3,calibration,185.0,33.0,145.0,169.0,12.0,14.0,19.0,17.01769282418272,NaN
national,4,reference,212.0,42.0,104.0,173.0,10.0,14.0,22.0,NaN,NaN
national,5,calibration,208.0,41.0,123.0,160.0,10.0,11.0,24.0,13.529288765743654,NaN
national,6,reference,216.0,38.0,111.0,173.0,9.0,11.0,19.0,NaN,NaN
national,7,calibration,155.0,25.0,195.0,159.0,5.0,14.0,24.0,53.83732878551555,NaN
national,8,reference,193.0,41.0,120.0,174.0,10.0,12.0,27.0,NaN,NaN
national,9,calibration,185.0,35.0,141.0,166.0,10.0,14.0,26.0,15.575243861486758,NaN
national,10,reference,255.0,46.0,59.0,172.0,7.0,12.0,26.0,NaN,NaN
national,11,calibration,176.0,29.0,179.0,147.0,7.0,13.0,26.0,35.01009037424669,NaN
national,12,reference,246.0,28.0,108.0,151.0,11.0,11.0,22.0,NaN,NaN
national,13,calibration,193.0,42.0,114.0,179.0,10.0,11.0,28.0,19.94152377932117,NaN
national,14,reference,227.0,45.0,75.0,176.0,9.0,14.0,31.0,NaN,NaN
national,15,calibration,208.0,37.0,125.0,161.0,9.0,13.0,24.0,12.54923299828604,NaN
national,16,reference,174.0,36.0,153.0,166.0,11.0,14.0,23.0,NaN,NaN
national,17,calibration,185.0,39.0,134.0,168.0,9.0,12.0,30.0,16.10918072460748,NaN
national,18,reference,172.0,28.0,204.0,125.0,9.0,13.0,26.0,NaN,NaN
national,19,calibration,169.0,20.0,175.0,170.0,9.0,13.0,21.0,36.39838993338924,NaN
national,20,reference,205.0,40.0,119.0,172.0,11.0,13.0,17.0,NaN,NaN
national,21,calibration,211.0,30.0,142.0,156.0,9.0,12.0,17.0,15.200952828221613,NaN
national,22,reference,262.0,20.0,155.0,100.0,12.0,13.0,15.0,NaN,NaN
national,23,calibration,212.0,35.0,119.0,166.0,11.0,12.0,22.0,14.191835308647942,NaN
national,24,reference,187.0,36.0,150.0,159.0,10.0,12.0,23.0,NaN,NaN
national,25,calibration,214.0,33.0,117.0,167.0,10.0,13.0,23.0,15.139289512656784,NaN
national,26,reference,205.0,24.0,170.0,141.0,10.0,11.0,16.0,NaN,NaN
national,27,calibration,226.0,39.0,112.0,155.0,11.0,12.0,22.0,21.934961865321338,NaN
national,28,reference,201.0,39.0,119.0,173.0,11.0,13.0,21.0,NaN,NaN
national,29,calibration,186.0,25.0,151.0,165.0,8.0,14.0,28.0,18.467998011315142,NaN
national,30,reference,210.0,28.0,143.0,155.0,11.0,11.0,19.0,NaN,NaN
national,31,calibration,212.0,22.0,143.0,153.0,9.0,14.0,24.0,17.02761997474202,NaN
national,32,reference,183.0,21.0,198.0,134.0,10.0,12.0,19.0,NaN,NaN
national,33,calibration,187.0,45.0,118.0,177.0,10.0,12.0,28.0,20.525437108238744,NaN
national,34,reference,202.0,33.0,135.0,167.0,9.0,13.0,18.0,NaN,NaN
national,35,calibration,181.0,37.0,146.0,168.0,9.0,14.0,22.0,18.163901803843164,NaN
national,36,reference,177.0,33.0,149.0,175.0,9.0,9.0,25.0,NaN,NaN
national,37,calibration,151.0,42.0,170.0,169.0,10.0,12.0,23.0,43.01339246777417,NaN
national,38,reference,207.0,33.0,165.0,130.0,9.0,13.0,20.0,NaN,NaN
national,39,calibration,205.0,39.0,105.0,175.0,11.0,13.0,29.0,20.48842110850767,NaN
national,40,reference,159.0,24.0,197.0,154.0,8.0,12.0,23.0,NaN,NaN
national,41,calibration,219.0,26.0,149.0,149.0,5.0,11.0,18.0,21.239812773337018,NaN
national,42,reference,206.0,35.0,126.0,162.0,12.0,12.0,24.0,NaN,NaN
national,43,calibration,207.0,22.0,185.0,119.0,9.0,13.0,22.0,47.560346933445686,NaN
national,44,reference,172.0,26.0,173.0,159.0,10.0,12.0,25.0,NaN,NaN
national,45,calibration,193.0,38.0,129.0,172.0,11.0,13.0,21.0,14.228506098723553,NaN
national,46,reference,190.0,28.0,129.0,179.0,10.0,12.0,29.0,NaN,NaN
national,47,calibration,187.0,29.0,149.0,172.0,10.0,12.0,18.0,18.378170854292886,NaN
national,48,reference,169.0,42.0,138.0,177.0,11.0,14.0,26.0,NaN,NaN
national,49,calibration,224.0,45.0,68.0,193.0,8.0,12.0,27.0,54.664613759520236,NaN
national,50,reference,223.0,27.0,117.0,166.0,9.0,12.0,23.0,NaN,NaN
national,51,calibration,215.0,21.0,154.0,150.0,8.0,13.0,16.0,22.416567516808957,NaN
national,52,reference,215.0,41.0,99.0,174.0,9.0,13.0,26.0,NaN,NaN
national,53,calibration,197.0,33.0,157.0,149.0,9.0,14.0,18.0,19.470694087333552,NaN
national,54,reference,187.0,24.0,148.0,175.0,8.0,12.0,23.0,NaN,NaN
national,55,calibration,155.0,36.0,173.0,166.0,11.0,13.0,23.0,40.79157989238588,NaN
national,56,reference,188.0,38.0,134.0,168.0,8.0,13.0,28.0,NaN,NaN
national,57,calibration,217.0,39.0,106.0,165.0,9.0,11.0,30.0,20.267825282467566,NaN
national,58,reference,165.0,23.0,188.0,150.0,8.0,14.0,29.0,NaN,NaN
national,59,calibration,163.0,17.0,243.0,114.0,9.0,12.0,19.0,99.20787019453144,NaN
national,60,reference,197.0,37.0,129.0,167.0,10.0,13.0,24.0,NaN,NaN
national,61,calibration,223.0,35.0,83.0,185.0,11.0,14.0,26.0,39.26742369837376,NaN
national,62,reference,192.0,22.0,178.0,137.0,10.0,13.0,25.0,NaN,NaN
national,63,calibration,200.0,29.0,153.0,148.0,10.0,13.0,24.0,17.967748324082233,NaN
national,64,reference,175.0,41.0,147.0,163.0,10.0,13.0,28.0,NaN,NaN
national,65,calibration,220.0,38.0,100.0,166.0,10.0,12.0,31.0,24.132297064112887,NaN
national,66,reference,204.0,41.0,116.0,168.0,8.0,14.0,26.0,NaN,NaN
national,67,calibration,187.0,43.0,108.0,190.0,8.0,12.0,29.0,29.010833286310838,NaN
national,68,reference,189.0,22.0,141.0,179.0,11.0,12.0,23.0,NaN,NaN
national,69,calibration,206.0,39.0,110.0,179.0,9.0,10.0,24.0,19.340157839506187,NaN
national,70,reference,224.0,38.0,101.0,163.0,10.0,13.0,28.0,NaN,NaN
national,71,calibration,233.0,38.0,93.0,166.0,9.0,14.0,24.0,32.869877687296835,NaN
national,72,reference,163.0,25.0,202.0,142.0,12.0,13.0,20.0,NaN,NaN
national,73,calibration,183.0,42.0,129.0,177.0,9.0,10.0,27.0,19.334314374920563,NaN
national,74,reference,189.0,41.0,125.0,174.0,10.0,13.0,25.0,NaN,NaN
national,75,calibration,231.0,39.0,109.0,150.0,9.0,13.0,26.0,26.632710798977154,NaN
national,76,reference,225.0,38.0,103.0,164.0,11.0,12.0,24.0,NaN,NaN
national,77,calibration,214.0,22.0,144.0,153.0,7.0,13.0,24.0,17.7975547446578,NaN
national,78,reference,217.0,38.0,82.0,190.0,10.0,12.0,28.0,NaN,NaN
national,79,calibration,169.0,45.0,133.0,180.0,11.0,12.0,27.0,27.513251456580942,NaN
national,80,reference,176.0,38.0,157.0,160.0,11.0,13.0,22.0,NaN,NaN
national,81,calibration,199.0,38.0,123.0,171.0,10.0,12.0,24.0,13.52351550947996,NaN
national,82,reference,217.0,38.0,111.0,159.0,10.0,13.0,29.0,NaN,NaN
national,83,calibration,159.0,19.0,204.0,147.0,8.0,13.0,27.0,59.97260318958985,NaN
national,84,reference,160.0,38.0,175.0,155.0,8.0,13.0,28.0,NaN,NaN
national,85,calibration,172.0,30.0,176.0,153.0,9.0,12.0,25.0,33.577715717429626,NaN
national,86,reference,149.0,40.0,179.0,164.0,10.0,13.0,22.0,NaN,NaN
national,87,calibration,175.0,43.0,128.0,179.0,11.0,12.0,29.0,24.09905052263669,NaN
national,88,reference,191.0,42.0,129.0,170.0,10.0,13.0,22.0,NaN,NaN
national,89,calibration,240.0,40.0,107.0,140.0,7.0,12.0,31.0,36.48212590409315,NaN
