model,draw,role,NFP+,LR,RN+,ENS+,DIV,DVG,DVD,joint_score,observed_percentile
national_anchored,0,reference,170.0,22.0,175.0,162.0,10.0,13.0,25.0,NaN,NaN
national_anchored,1,calibration,212.0,24.0,143.0,159.0,8.0,13.0,18.0,16.827533247464732,NaN
national_anchored,2,reference,175.0,44.0,135.0,172.0,12.0,14.0,25.0,NaN,NaN
national_anchored,3,calibration,214.0,35.0,111.0,171.0,10.0,12.0,24.0,16.937084395921314,NaN
national_anchored,4,reference,205.0,41.0,111.0,172.0,12.0,14.0,22.0,NaN,NaN
national_anchored,5,calibration,227.0,39.0,115.0,155.0,9.0,10.0,22.0,21.997194489644283,NaN
national_anchored,6,reference,173.0,39.0,151.0,164.0,8.0,12.0,30.0,NaN,NaN
national_anchored,7,calibration,217.0,44.0,83.0,184.0,10.0,12.0,27.0,36.8506009129441,NaN
national_anchored,8,reference,190.0,25.0,167.0,154.0,12.0,13.0,16.0,NaN,NaN
national_anchored,9,calibration,203.0,45.0,93.0,186.0,9.0,13.0,28.0,30.22449722782238,NaN
national_anchored,10,reference,206.0,41.0,98.0,176.0,9.0,13.0,34.0,NaN,NaN
national_anchored,11,calibration,226.0,37.0,106.0,162.0,9.0,13.0,24.0,22.864652864363908,NaN
national_anchored,12,reference,204.0,42.0,103.0,177.0,10.0,13.0,28.0,NaN,NaN
national_anchored,13,calibration,203.0,38.0,130.0,157.0,10.0,14.0,25.0,12.667805828749767,NaN
national_anchored,14,reference,177.0,38.0,116.0,195.0,9.0,14.0,28.0,NaN,NaN
national_anchored,15,calibration,208.0,39.0,124.0,156.0,8.0,12.0,30.0,14.37179852492135,NaN
national_anchored,16,reference,185.0,21.0,167.0,159.0,9.0,13.0,23.0,NaN,NaN
national_anchored,17,calibration,191.0,35.0,149.0,159.0,8.0,14.0,21.0,15.875084313979148,NaN
national_anchored,18,reference,195.0,27.0,132.0,171.0,8.0,13.0,31.0,NaN,NaN
national_anchored,19,calibration,207.0,39.0,130.0,155.0,8.0,13.0,25.0,13.538484948521717,NaN
national_anchored,20,reference,192.0,25.0,149.0,169.0,11.0,12.0,19.0,NaN,NaN
national_anchored,21,calibration,199.0,18.0,193.0,121.0,9.0,13.0,24.0,53.60025546236601,NaN
national_anchored,22,reference,194.0,27.0,166.0,144.0,9.0,12.0,25.0,NaN,NaN
national_anchored,23,calibration,159.0,32.0,199.0,148.0,8.0,13.0,18.0,56.1127864745627,NaN
