model,conditioning,party,actual,p05,p25,median,p75,p95,target_expressed_share,window_points,selected_draws,total_draws
national,Prior predictive,DIV,10.0,7.0,9.0,10.0,10.0,12.0,62.969101950749284,0.5,249,3000
national,Prior predictive,NFP+,181.0,156.0,187.0,203.0,217.0,235.0,62.969101950749284,0.5,249,3000
national,Prior predictive,DVG,12.0,11.0,12.0,13.0,13.0,14.0,62.969101950749284,0.5,249,3000
national,Prior predictive,ENS+,165.0,129.0,153.0,164.0,173.0,183.0,62.969101950749284,0.5,249,3000
national,Prior predictive,LR,39.0,20.0,27.0,36.0,39.0,44.0,62.969101950749284,0.5,249,3000
national,Prior predictive,DVD,27.0,18.0,22.0,24.0,26.0,30.0,62.969101950749284,0.5,249,3000
national,Prior predictive,RN+,143.0,84.0,111.0,132.0,158.0,195.0,62.969101950749284,0.5,249,3000
national,Observed expressed share,DIV,10.0,7.0,9.0,10.0,10.0,11.599999999999994,62.969101950749284,0.5,249,3000
national,Observed expressed share,NFP+,181.0,152.8,186.0,201.0,215.0,233.6,62.969101950749284,0.5,249,3000
national,Observed expressed share,DVG,12.0,11.0,12.0,13.0,13.0,14.0,62.969101950749284,0.5,249,3000
national,Observed expressed share,ENS+,165.0,133.0,153.0,163.0,172.0,181.6,62.969101950749284,0.5,249,3000
national,Observed expressed share,LR,39.0,20.0,27.0,36.0,39.0,43.0,62.969101950749284,0.5,249,3000
national,Observed expressed share,DVD,27.0,19.0,22.0,24.0,26.0,29.599999999999994,62.969101950749284,0.5,249,3000
national,Observed expressed share,RN+,143.0,89.4,116.0,134.0,161.0,195.6,62.969101950749284,0.5,249,3000
national_anchored,Prior predictive,DIV,10.0,7.0,9.0,10.0,10.0,12.0,62.969101950749284,0.5,185,3000
national_anchored,Prior predictive,NFP+,181.0,156.0,186.0,204.0,217.0,234.0,62.969101950749284,0.5,185,3000
national_anchored,Prior predictive,DVG,12.0,11.0,12.0,13.0,13.0,14.0,62.969101950749284,0.5,185,3000
national_anchored,Prior predictive,ENS+,165.0,129.0,154.0,166.0,174.0,184.0,62.969101950749284,0.5,185,3000
national_anchored,Prior predictive,LR,39.0,20.0,28.0,37.0,40.0,45.0,62.969101950749284,0.5,185,3000
national_anchored,Prior predictive,DVD,27.0,18.0,22.0,24.0,27.0,30.0,62.969101950749284,0.5,185,3000
national_anchored,Prior predictive,RN+,143.0,83.0,109.0,131.0,155.0,194.0,62.969101950749284,0.5,185,3000
national_anchored,Observed expressed share,DIV,10.0,7.0,9.0,10.0,10.0,12.0,62.969101950749284,0.5,185,3000
national_anchored,Observed expressed share,NFP+,181.0,154.2,184.0,206.0,219.0,233.59999999999997,62.969101950749284,0.5,185,3000
national_anchored,Observed expressed share,DVG,12.0,11.0,12.0,13.0,13.0,14.0,62.969101950749284,0.5,185,3000
national_anchored,Observed expressed share,ENS+,165.0,134.0,155.0,165.0,173.0,182.79999999999998,62.969101950749284,0.5,185,3000
national_anchored,Observed expressed share,LR,39.0,20.0,28.0,37.0,39.0,44.0,62.969101950749284,0.5,185,3000
national_anchored,Observed expressed share,DVD,27.0,18.0,22.0,24.0,27.0,30.0,62.969101950749284,0.5,185,3000
national_anchored,Observed expressed share,RN+,143.0,88.2,106.0,131.0,158.0,190.59999999999997,62.969101950749284,0.5,185,3000
kernel_anchored,Prior predictive,DIV,10.0,8.0,9.0,10.0,10.0,11.0,62.969101950749284,0.5,201,3000
kernel_anchored,Prior predictive,NFP+,181.0,178.0,192.0,201.0,210.0,223.0,62.969101950749284,0.5,201,3000
kernel_anchored,Prior predictive,DVG,12.0,11.0,12.0,13.0,13.0,14.0,62.969101950749284,0.5,201,3000
kernel_anchored,Prior predictive,ENS+,165.0,145.95000000000002,156.0,162.0,169.0,177.0,62.969101950749284,0.5,201,3000
kernel_anchored,Prior predictive,LR,39.0,26.0,31.0,34.0,37.0,41.0,62.969101950749284,0.5,201,3000
kernel_anchored,Prior predictive,DVD,27.0,20.0,22.0,24.0,26.0,28.0,62.969101950749284,0.5,201,3000
kernel_anchored,Prior predictive,RN+,143.0,100.0,120.0,134.0,148.0,168.0,62.969101950749284,0.5,201,3000
kernel_anchored,Observed expressed share,DIV,10.0,8.0,9.0,10.0,10.0,11.0,62.969101950749284,0.5,201,3000
kernel_anchored,Observed expressed share,NFP+,181.0,177.0,191.0,200.0,209.0,218.0,62.969101950749284,0.5,201,3000
kernel_anchored,Observed expressed share,DVG,12.0,11.0,12.0,13.0,13.0,14.0,62.969101950749284,0.5,201,3000
kernel_anchored,Observed expressed share,ENS+,165.0,146.0,154.0,161.0,168.0,176.0,62.969101950749284,0.5,201,3000
kernel_anchored,Observed expressed share,LR,39.0,25.0,31.0,33.0,36.0,40.0,62.969101950749284,0.5,201,3000
kernel_anchored,Observed expressed share,DVD,27.0,20.0,22.0,24.0,26.0,28.0,62.969101950749284,0.5,201,3000
kernel_anchored,Observed expressed share,RN+,143.0,104.0,121.0,135.0,149.0,167.0,62.969101950749284,0.5,201,3000
