alpha,parti,p05,mediane,p95,moyenne,ecart_type
0.5,DIV,7.0,10.0,12.0,9.444,1.4720271736622257
0.5,NFP+,158.0,209.0,238.04999999999973,205.19933333333333,23.836853809921216
0.5,DVG,10.0,13.0,14.0,12.464666666666666,1.1231287647559483
0.5,ENS+,141.0,172.0,188.0,169.225,14.717802428804829
0.5,LR,21.0,38.0,46.0,36.48233333333334,7.356970927101876
0.5,DVD,19.0,26.0,31.0,25.512,3.7380729438219014
0.5,RN+,73.0,115.0,178.0,118.67266666666667,31.472890761556823
1.0,DIV,7.0,10.0,12.0,9.531666666666666,1.2867260348997718
1.0,NFP+,154.0,199.0,231.0,195.972,23.370192182921105
1.0,DVG,11.0,13.0,14.0,12.686333333333334,0.9269735103490763
1.0,ENS+,121.0,157.0,178.0,154.355,17.659831303460027
1.0,LR,18.0,32.0,42.0,30.824333333333332,7.869612944032819
1.0,DVD,17.0,23.0,29.0,22.77,3.497966075688366
1.0,RN+,97.0,149.0,211.0,150.86066666666667,35.33338250939974
2.0,DIV,8.0,9.0,11.0,9.466333333333333,1.1000908548337673
2.0,NFP+,152.0,187.0,219.0,185.94033333333334,21.24504898924819
2.0,DVG,12.0,13.0,14.0,12.835333333333333,0.7124265264260979
2.0,ENS+,107.0,139.0,165.0,137.487,18.026956602081597
2.0,LR,17.0,23.0,38.0,25.048,6.777341858477161
2.0,DVD,17.0,20.0,25.0,20.527,2.8060537533459096
2.0,RN+,130.0,186.5,240.0,185.696,33.204119985327125
