demobilisation,parti,p05,mediane,p95,moyenne,ecart_type,simulations
0.0,DIV,7.0,10.0,11.0,9.597,1.2595995395362765,3000
0.0,NFP+,155.0,200.0,228.0,196.69033333333334,21.88042747652695,3000
0.0,DVG,11.0,13.0,14.0,12.706666666666667,0.9025642482517365,3000
0.0,ENS+,121.95000000000002,157.0,177.0,154.37633333333332,16.894714357520883,3000
0.0,LR,19.0,33.0,42.0,31.160333333333334,7.643164258923715,3000
0.0,DVD,17.0,23.0,28.0,22.653666666666666,3.424965190415161,3000
0.0,RN+,100.0,146.0,209.0,149.81566666666666,33.536333846872544,3000
0.05,DIV,7.0,10.0,12.0,9.501333333333333,1.3851587955497695,3000
0.05,NFP+,156.0,203.0,235.0,200.26033333333334,23.821416692174758,3000
0.05,DVG,11.0,13.0,14.0,12.641333333333334,0.9936590070150938,3000
0.05,ENS+,127.0,164.0,184.0,161.523,16.932969940326476,3000
0.05,LR,19.0,36.0,44.0,33.535,7.888183673486988,3000
0.05,DVD,17.0,24.0,30.0,23.989,3.7725604479362995,3000
0.05,RN+,85.0,132.0,198.0,135.55,34.713822895209915,3000
0.1,DIV,7.0,10.0,12.0,9.474666666666666,1.405711524064909,3000
0.1,NFP+,156.0,206.0,238.0,202.56933333333333,24.761136071585156,3000
0.1,DVG,10.0,13.0,14.0,12.507666666666667,1.093590975741032,3000
0.1,ENS+,130.0,168.0,186.0,164.408,17.170853288834152,3000
0.1,LR,20.0,37.0,45.0,34.578,7.901049466157433,3000
0.1,DVD,18.0,25.0,31.0,24.491,3.8724564555331025,3000
0.1,RN+,76.0,125.0,192.0,128.97133333333332,35.58044188720664,3000
0.15,DIV,7.0,10.0,12.0,9.404,1.455833323793169,3000
0.15,NFP+,156.0,206.0,240.0,203.85266666666666,24.908344509867014,3000
0.15,DVG,10.0,13.0,14.0,12.448666666666666,1.144274831012589,3000
0.15,ENS+,134.0,169.0,188.0,166.68233333333333,16.630015671135798,3000
0.15,LR,20.0,38.0,46.0,35.26266666666667,7.891366984806174,3000
0.15,DVD,18.0,25.0,31.0,24.801333333333332,3.8813053932350594,3000
0.15,RN+,70.0,121.0,186.04999999999973,124.54833333333333,35.3297371990729,3000
0.2,DIV,7.0,10.0,12.0,9.419333333333332,1.4935950663490496,3000
0.2,NFP+,156.95000000000002,209.0,242.0,205.72833333333332,25.342662262587083,3000
0.2,DVG,10.0,13.0,14.0,12.364,1.2288900140641823,3000
0.2,ENS+,136.0,171.0,190.04999999999973,168.538,16.78151431387128,3000
0.2,LR,21.0,38.0,46.0,36.037,7.760560396431862,3000
0.2,DVD,18.0,25.0,32.0,25.088333333333335,4.021922909366723,3000
0.2,RN+,68.0,116.0,185.0,119.825,36.12919929456874,3000
