modele,ordre,parti,reel,p05,mediane,p95,largeur,dans_ic90
national,partiel,NFP+,181.0,155.0,203.0,235.0,80.0,true
national,partiel,LR,39.0,8.0,18.0,39.0,31.0,true
national,partiel,RN+,143.0,107.0,173.0,241.04999999999995,134.04999999999995,true
national,partiel,ENS+,165.0,102.0,146.0,177.0,75.0,true
national,partiel,DIV,10.0,7.0,9.0,11.0,4.0,true
national,partiel,DVG,12.0,11.0,13.0,14.0,3.0,true
national,partiel,DVD,27.0,11.0,18.0,27.0,16.0,true
national,total,NFP+,181.0,198.0,220.0,237.0,39.0,false
national,total,LR,39.0,21.0,36.0,43.0,22.0,true
national,total,RN+,143.0,65.0,99.0,145.0,80.0,true
national,total,ENS+,165.0,152.0,177.0,192.0,40.0,true
national,total,DIV,10.0,9.0,10.0,10.0,1.0,true
national,total,DVG,12.0,13.0,14.0,14.0,1.0,false
national,total,DVD,27.0,21.0,25.0,28.0,7.0,true
national_anchored,partiel,NFP+,181.0,155.0,206.0,236.0,81.0,true
national_anchored,partiel,LR,39.0,7.0,18.0,40.0,33.0,true
national_anchored,partiel,RN+,143.0,104.0,170.0,241.0,137.0,true
national_anchored,partiel,ENS+,165.0,102.0,147.0,179.0,77.0,true
national_anchored,partiel,DIV,10.0,7.0,9.0,11.0,4.0,true
national_anchored,partiel,DVG,12.0,11.0,13.0,14.0,3.0,true
national_anchored,partiel,DVD,27.0,11.0,18.0,27.0,16.0,true
national_anchored,total,NFP+,181.0,199.0,223.0,238.0,39.0,false
national_anchored,total,LR,39.0,21.0,37.0,44.0,23.0,true
national_anchored,total,RN+,143.0,62.0,92.0,137.04999999999995,75.04999999999995,false
national_anchored,total,ENS+,165.0,155.0,179.0,192.0,37.0,true
national_anchored,total,DIV,10.0,9.0,10.0,10.0,1.0,true
national_anchored,total,DVG,12.0,13.0,14.0,14.0,1.0,false
national_anchored,total,DVD,27.0,22.0,25.0,28.0,6.0,true
kernel_anchored,partiel,NFP+,181.0,162.0,205.0,236.0,74.0,true
kernel_anchored,partiel,LR,39.0,8.0,19.0,40.0,32.0,true
kernel_anchored,partiel,RN+,143.0,105.0,167.0,232.0,127.0,true
kernel_anchored,partiel,ENS+,165.0,108.0,147.0,176.0,68.0,true
kernel_anchored,partiel,DIV,10.0,7.0,9.0,11.0,4.0,true
kernel_anchored,partiel,DVG,12.0,11.0,13.0,14.0,3.0,true
kernel_anchored,partiel,DVD,27.0,12.0,18.0,27.0,15.0,true
kernel_anchored,total,NFP+,181.0,202.0,223.0,237.0,35.0,false
kernel_anchored,total,LR,39.0,24.0,36.0,43.0,19.0,true
kernel_anchored,total,RN+,143.0,64.0,92.5,130.0,66.0,false
kernel_anchored,total,ENS+,165.0,158.0,179.0,191.0,33.0,true
kernel_anchored,total,DIV,10.0,9.0,10.0,10.0,1.0,true
kernel_anchored,total,DVG,12.0,13.0,14.0,14.0,1.0,false
kernel_anchored,total,DVD,27.0,22.0,25.0,28.0,6.0,true
