duel,source,destination,q05,mediane,q95
ENS+/RN+,DVD,ENS+,0.4446007852551934,0.697090245279247,0.9460170691492764
ENS+/RN+,DVD,NON_EXPRIMES,0.003771216404626348,0.13133664384538504,0.381003180465684
ENS+/RN+,DVD,RN+,0.003047109081106021,0.12460263391631926,0.39047063730362935
ENS+/RN+,LR,ENS+,0.43614990639190143,0.6828383252825156,0.9492357806376294
ENS+/RN+,LR,NON_EXPRIMES,0.0037326756895057498,0.12741593394484974,0.3909080319495661
ENS+/RN+,LR,RN+,0.0038194859373783733,0.1280859281903058,0.38667067113358394
ENS+/RN+,NFP+,ENS+,0.5616873631999553,0.821630706843644,0.9813694719430125
ENS+/RN+,NFP+,NON_EXPRIMES,0.0017909692761290516,0.07654456975678811,0.27059802314086123
ENS+/RN+,NFP+,RN+,0.0016610475219174532,0.0751966733635666,0.278109761429063
NFP+/RN+,DVD,NFP+,0.01328964976465928,0.2972080811612732,0.7989452002126293
NFP+/RN+,DVD,NON_EXPRIMES,0.011828856621699404,0.311161637465029,0.7889319666674175
NFP+/RN+,DVD,RN+,0.01138831493646417,0.305528309369291,0.7981075984972089
NFP+/RN+,ENS+,NFP+,0.45688197117154616,0.7582022342937593,0.9771339718277067
NFP+/RN+,ENS+,NON_EXPRIMES,0.0025738305828416066,0.09615590272788836,0.3568833223483204
NFP+/RN+,ENS+,RN+,0.002270128563897998,0.09391981834315477,0.36997925847391583
NFP+/RN+,LR,NFP+,0.010790758145951441,0.3109840827275496,0.7779090551486663
NFP+/RN+,LR,NON_EXPRIMES,0.011475205725131235,0.3078324107653666,0.8043819207460113
NFP+/RN+,LR,RN+,0.012403597643481775,0.3001303701571623,0.7997093967435972
