model,duel,chain,draw,source,destination,rate
prior,NFP+/RN+,0,0,LR,NFP+,0.49949787968127696
prior,NFP+/RN+,0,0,LR,RN+,0.006132373009744987
prior,NFP+/RN+,0,0,LR,NON_EXPRIMES,0.4943697473089779
prior,NFP+/RN+,0,0,ENS+,NFP+,0.5348740583054141
prior,NFP+/RN+,0,0,ENS+,RN+,0.3133219573496144
prior,NFP+/RN+,0,0,ENS+,NON_EXPRIMES,0.15180398434497167
prior,NFP+/RN+,0,0,DVD,NFP+,0.15877972550260985
prior,NFP+/RN+,0,0,DVD,RN+,0.6619814115846097
prior,NFP+/RN+,0,0,DVD,NON_EXPRIMES,0.17923886291278035
prior,NFP+/RN+,0,1,LR,NFP+,0.45999538378869476
prior,NFP+/RN+,0,1,LR,RN+,0.2725455308772151
prior,NFP+/RN+,0,1,LR,NON_EXPRIMES,0.2674590853340902
prior,NFP+/RN+,0,1,ENS+,NFP+,0.9877231965731073
prior,NFP+/RN+,0,1,ENS+,RN+,0.009201251156146527
prior,NFP+/RN+,0,1,ENS+,NON_EXPRIMES,0.0030755522707462705
prior,NFP+/RN+,0,1,DVD,NFP+,0.17082425106101629
prior,NFP+/RN+,0,1,DVD,RN+,0.12848544349189753
prior,NFP+/RN+,0,1,DVD,NON_EXPRIMES,0.7006903054470861
prior,NFP+/RN+,0,2,LR,NFP+,0.06055228894196574
prior,NFP+/RN+,0,2,LR,RN+,0.5722366909665128
prior,NFP+/RN+,0,2,LR,NON_EXPRIMES,0.3672110200915215
prior,NFP+/RN+,0,2,ENS+,NFP+,0.4585105829760607
prior,NFP+/RN+,0,2,ENS+,RN+,0.1120939822243233
prior,NFP+/RN+,0,2,ENS+,NON_EXPRIMES,0.4293954347996162
prior,NFP+/RN+,0,2,DVD,NFP+,0.32256147121502976
prior,NFP+/RN+,0,2,DVD,RN+,0.4439791627671439
prior,NFP+/RN+,0,2,DVD,NON_EXPRIMES,0.23345936601782646
prior,NFP+/RN+,0,3,LR,NFP+,0.432920562957047
prior,NFP+/RN+,0,3,LR,RN+,0.11026512923887685
prior,NFP+/RN+,0,3,LR,NON_EXPRIMES,0.4568143078040762
prior,NFP+/RN+,0,3,ENS+,NFP+,0.4919031839884312
prior,NFP+/RN+,0,3,ENS+,RN+,0.3133896013753737
prior,NFP+/RN+,0,3,ENS+,NON_EXPRIMES,0.1947072146361951
prior,NFP+/RN+,0,3,DVD,NFP+,0.1070935097663592
prior,NFP+/RN+,0,3,DVD,RN+,0.4845644828138153
prior,NFP+/RN+,0,3,DVD,NON_EXPRIMES,0.40834200741982524
prior,NFP+/RN+,0,4,LR,NFP+,0.4991246833111406
prior,NFP+/RN+,0,4,LR,RN+,0.20192315196362487
prior,NFP+/RN+,0,4,LR,NON_EXPRIMES,0.29895216472523445
prior,NFP+/RN+,0,4,ENS+,NFP+,0.9276859671716455
prior,NFP+/RN+,0,4,ENS+,RN+,0.0002737594625430384
prior,NFP+/RN+,0,4,ENS+,NON_EXPRIMES,0.07204027336581133
prior,NFP+/RN+,0,4,DVD,NFP+,0.04877003198670669
prior,NFP+/RN+,0,4,DVD,RN+,0.15311845874067942
prior,NFP+/RN+,0,4,DVD,NON_EXPRIMES,0.7981115092726141
prior,NFP+/RN+,0,5,LR,NFP+,0.020235328907628723
prior,NFP+/RN+,0,5,LR,RN+,0.4089872014245003
prior,NFP+/RN+,0,5,LR,NON_EXPRIMES,0.5707774696678709
prior,NFP+/RN+,0,5,ENS+,NFP+,0.9633363062819225
prior,NFP+/RN+,0,5,ENS+,RN+,0.026464684044320445
