parti,tranche_basse,sieges_medians,simulations,p05,p95,tranche_haute,non_exprimés
DIV,17,8.0,1,8.0,8.0,18,17.5
DIV,18,9.0,1,9.0,9.0,19,18.5
DIV,19,9.0,1,9.0,9.0,20,19.5
DIV,20,9.0,5,9.0,10.0,21,20.5
DIV,21,10.0,5,8.0,11.0,22,21.5
DIV,22,10.0,16,9.0,11.0,23,22.5
DIV,23,9.0,12,8.0,10.0,24,23.5
DIV,24,9.0,34,8.0,11.0,25,24.5
DIV,25,9.0,43,7.0,11.0,26,25.5
DIV,26,9.0,82,7.0,11.0,27,26.5
DIV,27,10.0,105,8.0,12.0,28,27.5
DIV,28,10.0,112,8.0,12.0,29,28.5
DIV,29,9.0,147,7.0,12.0,30,29.5
DIV,30,10.0,149,7.0,11.0,31,30.5
DIV,31,10.0,176,7.0,11.0,32,31.5
DIV,32,10.0,222,7.0,11.0,33,32.5
DIV,33,10.0,203,8.0,11.0,34,33.5
DIV,34,10.0,205,7.0,12.0,35,34.5
DIV,35,10.0,241,7.0,11.0,36,35.5
DIV,36,10.0,221,7.0,11.0,37,36.5
DIV,37,10.0,173,7.0,12.0,38,37.5
DIV,38,10.0,155,8.0,11.0,39,38.5
DIV,39,10.0,157,8.0,11.0,40,39.5
DIV,40,10.0,125,8.0,11.0,41,40.5
DIV,41,10.0,108,7.0,12.0,42,41.5
DIV,42,10.0,87,8.0,11.0,43,42.5
DIV,43,10.0,54,8.0,11.0,44,43.5
DIV,44,10.0,51,8.0,12.0,45,44.5
DIV,45,10.0,35,8.0,11.0,46,45.5
DIV,46,9.0,23,7.0,11.0,47,46.5
DIV,47,10.0,16,9.0,12.0,48,47.5
DIV,48,9.0,12,8.0,10.0,49,48.5
DIV,49,10.0,7,8.0,11.0,50,49.5
DIV,50,10.0,7,8.0,11.0,51,50.5
DIV,51,9.0,4,7.0,11.0,52,51.5
DIV,52,12.0,1,12.0,12.0,53,52.5
DIV,53,10.5,2,10.0,11.0,54,53.5
DIV,54,10.0,1,10.0,10.0,55,54.5
DIV,55,9.0,1,9.0,9.0,56,55.5
DVD,17,21.0,1,21.0,21.0,18,17.5
DVD,18,29.0,1,29.0,29.0,19,18.5
DVD,19,25.0,1,25.0,25.0,20,19.5
DVD,20,24.0,5,18.0,26.0,21,20.5
