modele,tilt_min,tilt_max,parti,reel,mediane,biais,p05,p95,largeur,energy_score,percentile_joint
national_anchored,-1.0,1.0,NFP+,181.0,206.0,25.0,155.0,236.0,81.0,30.748092495593035,0.5274725274725275
national_anchored,-1.0,1.0,LR,39.0,18.0,-21.0,7.0,40.0,33.0,30.748092495593035,0.5274725274725275
national_anchored,-1.0,1.0,RN+,143.0,170.0,27.0,104.0,241.0,137.0,30.748092495593035,0.5274725274725275
national_anchored,-1.0,1.0,ENS+,165.0,147.0,-18.0,102.0,179.0,77.0,30.748092495593035,0.5274725274725275
national_anchored,-1.0,1.0,DIV,10.0,9.0,-1.0,7.0,11.0,4.0,30.748092495593035,0.5274725274725275
national_anchored,-1.0,1.0,DVG,12.0,13.0,1.0,11.0,14.0,3.0,30.748092495593035,0.5274725274725275
national_anchored,-1.0,1.0,DVD,27.0,18.0,-9.0,11.0,27.0,16.0,30.748092495593035,0.5274725274725275
national_anchored,-1.0,2.0,NFP+,181.0,204.0,23.0,155.0,237.0,82.0,30.31119010414732,0.5044955044955045
national_anchored,-1.0,2.0,LR,39.0,19.0,-20.0,8.0,41.0,33.0,30.31119010414732,0.5044955044955045
national_anchored,-1.0,2.0,RN+,143.0,171.0,28.0,101.0,238.0,137.0,30.31119010414732,0.5044955044955045
national_anchored,-1.0,2.0,ENS+,165.0,147.0,-18.0,103.0,179.0,76.0,30.31119010414732,0.5044955044955045
national_anchored,-1.0,2.0,DIV,10.0,9.0,-1.0,7.0,11.0,4.0,30.31119010414732,0.5044955044955045
national_anchored,-1.0,2.0,DVG,12.0,13.0,1.0,11.0,14.0,3.0,30.31119010414732,0.5044955044955045
national_anchored,-1.0,2.0,DVD,27.0,18.0,-9.0,12.0,27.0,15.0,30.31119010414732,0.5044955044955045
national_anchored,-2.0,2.0,NFP+,181.0,204.0,23.0,155.0,238.0,83.0,29.795478318273794,0.44555444555444557
national_anchored,-2.0,2.0,LR,39.0,19.0,-20.0,8.0,41.0,33.0,29.795478318273794,0.44555444555444557
national_anchored,-2.0,2.0,RN+,143.0,169.0,26.0,99.0,239.0,140.0,29.795478318273794,0.44555444555444557
national_anchored,-2.0,2.0,ENS+,165.0,148.0,-17.0,103.0,180.0,77.0,29.795478318273794,0.44555444555444557
national_anchored,-2.0,2.0,DIV,10.0,9.0,-1.0,7.0,11.0,4.0,29.795478318273794,0.44555444555444557
national_anchored,-2.0,2.0,DVG,12.0,13.0,1.0,11.0,14.0,3.0,29.795478318273794,0.44555444555444557
national_anchored,-2.0,2.0,DVD,27.0,18.0,-9.0,11.0,27.0,16.0,29.795478318273794,0.44555444555444557
