test,borne_min,borne_max,paires,correlation,groupe
hellinger,0.002242932945544505,0.13026104969782482,14251,0.2851895738127242,
hellinger,0.13026104969782482,0.17480299183256848,14250,0.15999730296222348,
hellinger,0.17480299183256848,0.21055035564248392,14250,0.11268634201344509,
hellinger,0.21055035564248392,0.2504143698190414,14250,0.060950700189925676,
hellinger,0.2504143698190414,0.30283573195264357,14251,-0.03352487685888825,
hellinger,0.30283573195264357,0.37550059183680096,14250,-0.07319545199063249,
hellinger,0.37550059183680096,0.46041695018178586,14250,-0.06953078359312571,
hellinger,0.46041695018178586,0.8010599796970873,14251,-0.07877132507373563,
departement,,,1392,0.7691434756794692,même département
departement,,,112611,-0.02067436311221879,départements différents
departement_politiquement_eloignees,,,321,0.46946748139203864,même département
departement_politiquement_eloignees,,,37680,-0.07238339702225025,départements différents
