bandwidth_multiplier,mixing_weight,party,mean,sd,p05,p95,width90
0.25,0.0,DIV,9.343333333333334,1.059495473207908,8.0,11.0,3.0
0.25,0.0,NFP+,202.51333333333332,18.76406466176751,170.0,231.05,61.05000000000001
0.25,0.0,DVG,12.563333333333333,1.0406401854342795,11.0,14.0,3.0
0.25,0.0,ENS+,143.62333333333333,17.129297465485635,116.0,169.05,53.05000000000001
0.25,0.0,LR,20.92,8.860509509195383,9.0,36.05000000000001,27.05000000000001
0.25,0.0,DVD,18.07,4.301951800945574,12.0,25.0,13.0
0.25,0.0,RN+,169.96666666666667,32.82515078364126,114.95,221.20000000000005,106.25000000000004
0.5,0.0,DIV,9.386666666666667,1.0744006132793014,8.0,11.0,3.0
0.5,0.0,NFP+,198.44,19.499071241067202,165.95,231.05,65.10000000000002
0.5,0.0,DVG,12.473333333333333,1.0357920186546061,11.0,14.0,3.0
0.5,0.0,ENS+,142.80666666666667,18.67328557600131,113.0,171.0,58.0
0.5,0.0,LR,21.466666666666665,10.16497143971013,8.0,39.0,31.0
0.5,0.0,DVD,18.21,4.2950426429021435,12.0,25.0,13.0
0.5,0.0,RN+,174.21666666666667,34.791347320612644,117.95,227.05,109.10000000000001
1.0,0.0,DIV,9.283333333333333,1.1375568884545761,7.0,11.0,4.0
1.0,0.0,NFP+,201.62333333333333,21.706805543698238,166.8,235.05,68.25
1.0,0.0,DVG,12.506666666666666,1.0926734828036675,10.0,14.0,4.0
1.0,0.0,ENS+,142.9,21.020534632929312,109.95,175.0,65.05
1.0,0.0,LR,20.61,10.165745156255877,8.0,40.05000000000001,32.05000000000001
1.0,0.0,DVD,18.506666666666668,4.400891771391403,11.950000000000001,26.0,14.049999999999999
1.0,0.0,RN+,171.57,37.956123674773686,110.0,235.20000000000005,125.20000000000005
2.0,0.0,DIV,9.23,1.3252500237381852,7.0,11.0,4.0
2.0,0.0,NFP+,201.32333333333332,22.63389271026133,156.85,235.0,78.15
2.0,0.0,DVG,12.553333333333333,1.005248212525065,11.0,14.0,3.0
2.0,0.0,ENS+,142.79,21.791024048836945,109.0,177.0,68.0
2.0,0.0,LR,20.773333333333333,9.74878204667301,8.0,39.0,31.0
2.0,0.0,DVD,18.22,4.370576598039565,11.0,26.0,15.0
2.0,0.0,RN+,172.11,38.150177195746934,107.0,230.05,123.05000000000001
0.25,0.25,DIV,9.31,1.1423293692976058,8.0,11.0,3.0
0.25,0.25,NFP+,198.51,18.500019886096155,167.95,230.0,62.05000000000001
0.25,0.25,DVG,12.566666666666666,1.024232589248401,11.0,14.0,3.0
0.25,0.25,ENS+,144.10666666666665,17.462869033231478,115.0,172.0,57.0
0.25,0.25,LR,21.08,9.804456020582263,9.0,39.0,30.0
0.25,0.25,DVD,18.55666666666667,4.053173605519155,12.0,26.0,14.0
0.25,0.25,RN+,172.87,33.03053872243555,120.95,223.05,102.10000000000001
0.5,0.25,DIV,9.293333333333333,1.1712650261264437,8.0,11.0,3.0
0.5,0.25,NFP+,199.79333333333332,18.740543806484506,168.0,229.05,61.05000000000001
0.5,0.25,DVG,12.55,1.0284416890093029,11.0,14.0,3.0
0.5,0.25,ENS+,143.58,19.19196110973181,113.95,172.05,58.10000000000001
0.5,0.25,LR,21.35,9.814031658360612,9.0,38.05000000000001,29.05000000000001
0.5,0.25,DVD,18.633333333333333,4.499597405501319,12.0,27.0,15.0
0.5,0.25,RN+,171.8,35.499399401391734,117.9,230.05,112.15
1.0,0.25,DIV,9.49,1.2497089962270562,7.950000000000001,12.0,4.049999999999999
1.0,0.25,NFP+,202.0,21.998479728560632,161.95,238.0,76.05000000000001
1.0,0.25,DVG,12.523333333333333,1.0676712799808166,11.0,14.0,3.0
1.0,0.25,ENS+,143.94333333333333,20.787991506117585,110.0,176.0,66.0
1.0,0.25,LR,20.046666666666667,9.793408927280908,8.0,39.0,31.0
