department_correlation,mixing_weight,party,mean,sd,p05,p95,width90,simulations
0.0,0.0,DIV,9.5,1.0710542426205367,8.0,11.0,3.0,300
0.0,0.0,NFP+,201.21333333333334,5.636226193821117,192.0,211.0,19.0,300
0.0,0.0,DVG,12.683333333333334,0.8398850587602157,11.0,14.0,3.0,300
0.0,0.0,ENS+,161.80666666666667,6.564011199893704,151.0,171.0,20.0,300
0.0,0.0,LR,33.64333333333333,2.913947928611242,29.0,38.0,9.0,300
0.0,0.0,DVD,23.88,2.0030745598473594,21.0,27.0,6.0,300
0.0,0.0,RN+,134.27333333333334,12.756215176964742,115.0,157.0,42.0,300
0.25,0.0,DIV,9.493333333333334,1.0425506839722753,8.0,11.0,3.0,300
0.25,0.0,NFP+,200.14,6.335682249388568,190.0,210.0,20.0,300
0.25,0.0,DVG,12.573333333333334,0.8682174616754045,11.0,14.0,3.0,300
0.25,0.0,ENS+,161.20333333333335,6.001838254262047,152.0,171.0,19.0,300
0.25,0.0,LR,33.76,2.966208800612228,29.0,39.0,10.0,300
0.25,0.0,DVD,24.13,1.976390751176951,21.0,27.0,6.0,300
0.25,0.0,RN+,135.7,12.544369414736554,117.0,157.0,40.0,300
0.5,0.0,DIV,9.49,1.1138681884034232,8.0,11.0,3.0,300
0.5,0.0,NFP+,200.76666666666668,6.233920229436595,192.0,211.0,19.0,300
0.5,0.0,DVG,12.673333333333334,0.8770325969670101,11.0,14.0,3.0,300
0.5,0.0,ENS+,161.50333333333333,6.441659113095008,151.0,172.0,21.0,300
0.5,0.0,LR,33.76,2.9173222706395037,29.0,38.0,9.0,300
0.5,0.0,DVD,23.866666666666667,2.0647273959583523,20.0,27.0,7.0,300
0.5,0.0,RN+,134.94,12.63468179047214,114.0,155.0,41.0,300
0.75,0.0,DIV,9.56,1.0910398219022936,8.0,11.0,3.0,300
0.75,0.0,NFP+,200.67666666666668,6.655306095110951,190.0,213.0,23.0,300
0.75,0.0,DVG,12.593333333333334,0.8853823440786714,11.0,14.0,3.0,300
0.75,0.0,ENS+,161.56,6.586171791175527,149.0,171.0,22.0,300
0.75,0.0,LR,33.39333333333333,3.122679294367867,29.0,38.0,9.0,300
0.75,0.0,DVD,23.8,2.0166530767851527,21.0,27.0,6.0,300
0.75,0.0,RN+,135.41666666666666,12.999474734264387,115.0,159.0,44.0,300
1.0,0.0,DIV,9.49,1.0165355289439475,8.0,11.0,3.0,300
1.0,0.0,NFP+,200.86666666666667,7.352260969258993,189.0,213.0,24.0,300
1.0,0.0,DVG,12.6,0.928911327404614,11.0,14.0,3.0,300
