parti,parametre,colonne,decile,p05,p50,p95
RN+,Concentration α,alpha,0,86.475,122.5,157.02499999999998
RN+,Concentration α,alpha,1,90.475,122.75,160.52499999999998
RN+,Concentration α,alpha,2,99.975,127.5,162.02499999999998
RN+,Concentration α,alpha,3,100.875,128.0,163.575
RN+,Concentration α,alpha,4,98.45,133.5,166.59999999999997
RN+,Concentration α,alpha,5,102.975,136.5,170.09999999999997
RN+,Concentration α,alpha,6,102.92500000000001,136.5,175.02499999999998
RN+,Concentration α,alpha,7,108.95,144.0,180.12499999999994
RN+,Concentration α,alpha,8,109.475,144.0,183.04999999999998
RN+,Concentration α,alpha,9,112.975,149.75,189.575
RN+,Corrélation département ρd,department_correlation,0,99.475,131.5,165.52499999999998
RN+,Corrélation département ρd,department_correlation,1,95.975,132.5,177.54999999999998
RN+,Corrélation département ρd,department_correlation,2,98.9,135.0,179.0
RN+,Corrélation département ρd,department_correlation,3,99.35000000000001,133.0,174.075
RN+,Corrélation département ρd,department_correlation,4,100.35,136.25,175.59999999999997
RN+,Corrélation département ρd,department_correlation,5,99.95,135.0,179.54999999999998
RN+,Corrélation département ρd,department_correlation,6,102.45,136.5,174.62499999999994
RN+,Corrélation département ρd,department_correlation,7,99.5,134.25,170.54999999999998
RN+,Corrélation département ρd,department_correlation,8,99.0,133.0,173.67499999999995
RN+,Corrélation département ρd,department_correlation,9,94.975,134.75,174.04999999999998
RN+,Corrélation région ρr,region_correlation,0,102.975,136.0,176.02499999999998
RN+,Corrélation région ρr,region_correlation,1,99.42500000000001,135.0,175.02499999999998
RN+,Corrélation région ρr,region_correlation,2,101.0,137.0,174.04999999999998
RN+,Corrélation région ρr,region_correlation,3,100.45,134.0,174.54999999999998
RN+,Corrélation région ρr,region_correlation,4,93.4,132.75,177.075
RN+,Corrélation région ρr,region_correlation,5,98.45,134.5,175.64999999999995
RN+,Corrélation région ρr,region_correlation,6,98.42500000000001,132.0,176.09999999999997
RN+,Corrélation région ρr,region_correlation,7,95.975,133.5,176.54999999999998
RN+,Corrélation région ρr,region_correlation,8,99.975,132.0,175.575
RN+,Corrélation région ρr,region_correlation,9,99.975,134.25,173.0
RN+,Démobilisation d,qualified_demobilisation,0,109.45,143.0,176.67499999999995
RN+,Démobilisation d,qualified_demobilisation,1,103.42500000000001,138.75,178.54999999999998
RN+,Démobilisation d,qualified_demobilisation,2,104.45,137.0,180.02499999999998
RN+,Démobilisation d,qualified_demobilisation,3,102.975,135.75,176.575
