quantite,distance_min,distance_max,distance_moyenne,paires,correlation_modele,correlation_observee,noyau,groupe,modele,observe
exprimes,0.002242932945544741,0.13534702359293777,0.09772137751119045,15657,0.007478658360329273,0.04226758771238914,0.9359012000953895,,,
exprimes,0.13534702359293777,0.182068300104558,0.16002270487765285,15656,-0.0005284563106452781,0.00808094939943834,0.8372441959333728,,,
exprimes,0.182068300104558,0.22144820544466753,0.201483546711808,15656,-0.002002381548072937,-0.0008770827602296523,0.7545642738314497,,,
exprimes,0.22144820544466753,0.26847066504716144,0.24393576796367977,15656,-0.004032149005824242,0.03479078491408858,0.661802423251552,,,
exprimes,0.26847066504716144,0.33206353708749925,0.29870324456067165,15656,-0.004995914227763728,-0.01780342796332893,0.5385090848516202,,,
exprimes,0.33206353708749925,0.41296322843626976,0.37168601718540284,15656,-0.0038419959253250314,0.0034886093502104177,0.38352126531054603,,,
exprimes,0.41296322843626976,0.4973084233541428,0.45588955373605783,15656,-0.0026951941436213337,-0.0024527881469624756,0.23650906247801676,,,
exprimes,0.4973084233541428,0.8178457055275475,0.5676652552069903,15657,-0.0053689881783818665,-0.08349225484418928,0.10694619977767271,,,
exprimes,,,,1428,,,,meme_departement,0.5676493204664412,0.420953253522472
exprimes,,,,123822,,,,departements_differents,-0.008567819343960663,-0.00687778622563107
RN+,0.002242932945544741,0.12382775434235878,0.08975728474046996,12183,0.07654418189958548,0.04320557707171667,0.9456453864437472,,,
RN+,0.12382775434235878,0.16711645346418863,0.1465631070625898,12182,0.02264721651826082,0.010420203552179992,0.8615574725276636,,,
RN+,0.16711645346418863,0.20131547574517714,0.18451189198187612,12183,0.0011065838969459758,-0.004196943316166984,0.7896462844694586,,,
RN+,0.20131547574517714,0.23866084455263137,0.21922866756155382,12182,-0.02616133528506921,-0.031763209456068905,0.716480562130737,,,
RN+,0.23866084455263137,0.2940546366429774,0.2641862363305786,12183,-0.03693252375858435,-0.02334310144644608,0.616209243770298,,,
RN+,0.2940546366429774,0.3756292659390288,0.3336416110033608,12182,-0.027471083108227035,-0.029720158272420735,0.461989851037244,,,
RN+,0.3756292659390288,0.46507406559223347,0.4199453585201504,12183,-0.02085475460359194,-0.009105277764494097,0.29423354092379844,,,
RN+,0.46507406559223347,0.6952546892121638,0.5163438636621532,12183,-0.006804242238988058,0.02635868709503624,0.15731578330321938,,,
RN+,,,,1168,,,,meme_departement,0.14356024125377345,0.02143797624950193
RN+,,,,96293,,,,departements_differents,-0.00400900695596701,-0.0025551136246603407
